Player,Position,School,Height,Weight,40-yd Dash,Vertical Jump,Bench Press,Broad Jump,3-Cone Drill,20-yd Shuttle
Chandler Rivers,CB,Duke,69,185,4.4,39,,130,,
Keionte Scott ,CB,Miami,71,193,,,,0,,
DeShon Singleton,S,Nebraska ,75,205,,39.5,,0,,
Avery Smith,CB,Toledo,70,196,4.54,,,125,7.03,4.46
Genesis Smith,CB,Arizona ,74,202,,42.5,,0,,4.18
Robert Spears-Jennings ,CB,Oklahoma ,73,205,4.32,,,0,,4.43
Treydan Stukes,CB,Arizona ,72,190,4.33,38,,0,,
Lorenzo Styles Jr,CB,Ohio State,72,194,4.27,39,,0,,
Michael Taaffe,S,Texas,71,190,4.5,,,0,,
Avieon Terrell,CB,Clemson,71,186,,,,123,,
Dillon Thieneman,S,Oregon,73,201,4.35,41,,0,,
Jakobe Thomas,CB,Miami,73,211,,,,0,,
Zakee Wheatley,S,Penn State,75,203,,,,0,,
Collin Wright,CB,Stanford,72,188,,39,,0,,
