pick,team name,name,position,college,year
22,Chargers,Omarion Hampton,RB,North Carolina,2025
23,Packers,Matthew Golden,WR,Texas,2025
24,Vikings,Donovan Jackson,G,Ohio State,2025
25,Giants,Jaxson Dart,QB,Mississippi,2025
26,Falcons,James Pearce Jr.,EDGE,Tennessee,2025
27,Ravens,Malaki Starks,SAF,Georgia,2025
28,Lions,Tyleik Williams,DT,Ohio State,2025
29,Commanders,Josh Conerly Jr.,OT,Oregon,2025
30,Bills,Maxwell Hairston,CB,Kentucky,2025
31,Eagles,Jihaad Campbell,LB,Alabama,2025
32,Chiefs,Josh Simmons,OT,Ohio State,2025
